Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
123,3,Sep 9 2017,Sat,Minnesota,48,@,Oregon State,14,
124,3,Sep 9 2017,Sat,Mississippi,45,,Tennessee-Martin,23,
125,3,Sep 9 2017,Sat,Mississippi State,57,@,Louisiana Tech,21,
126,3,Sep 9 2017,Sat,Navy,23,,Tulane,21,
127,3,Sep 9 2017,Sat,Nevada-Las Vegas,44,@,Idaho,16,
128,3,Sep 9 2017,Sat,New Hampshire,22,,Georgia Southern,12,
129,3,Sep 9 2017,Sat,New Mexico State,30,@,New Mexico,28,
130,3,Sep 9 2017,Sat,North Carolina State,37,,Marshall,20,
131,3,Sep 9 2017,Sat,Northern Illinois,38,,Eastern Illinois,10,
132,3,Sep 9 2017,Sat,(5) Oklahoma,31,@,(2) Ohio State,16,
133,3,Sep 9 2017,Sat,(11) Oklahoma State,44,@,South Alabama,7,
134,3,Sep 9 2017,Sat,Old Dominion,17,@,Massachusetts,7,
135,3,Sep 9 2017,Sat,Oregon,42,,Nebraska,35,
136,3,Sep 9 2017,Sat,(4) Penn State,33,,Pittsburgh,14,
137,3,Sep 9 2017,Sat,Rice,31,@,Texas-El Paso,14,
138,3,Sep 9 2017,Sat,San Diego State,30,@,Arizona State,20,
139,3,Sep 9 2017,Sat,South Carolina,31,@,Missouri,13,
140,3,Sep 9 2017,Sat,South Dakota,35,@,Bowling Green State,27,
141,3,Sep 9 2017,Sat,(6) Southern California,42,,(14) Stanford,24,
142,3,Sep 9 2017,Sat,Southern Methodist,54,,North Texas,32,
143,3,Sep 9 2017,Sat,Southern Mississippi,45,,Southern,0,
144,3,Sep 9 2017,Sat,Temple,16,,Villanova,13,
145,3,Sep 9 2017,Sat,(25) Tennessee,42,,Indiana State,7,
146,3,Sep 9 2017,Sat,Texas,56,,San Jose State,0,
147,3,Sep 9 2017,Sat,Texas A&M,24,,Nicholls State,14,
148,3,Sep 9 2017,Sat,(23) Texas Christian,28,@,Arkansas,7,
149,3,Sep 9 2017,Sat,Texas-San Antonio,17,@,Baylor,10,
150,3,Sep 9 2017,Sat,Toledo,37,@,Nevada,24,
151,3,Sep 9 2017,Sat,Troy,34,,Alabama State,7,
152,3,Sep 9 2017,Sat,Tulsa,66,,Louisiana-Lafayette,42,
153,3,Sep 9 2017,Sat,UCLA,56,,Hawaii,23,
154,3,Sep 9 2017,Sat,Utah,19,@,Brigham Young,13,
155,3,Sep 9 2017,Sat,Vanderbilt,42,,Alabama A&M,0,
156,3,Sep 9 2017,Sat,(18) Virginia Tech,27,,Delaware,0,
157,3,Sep 9 2017,Sat,Wake Forest,34,@,Boston College,10,
158,3,Sep 9 2017,Sat,(7) Washington,63,,Montana,7,
159,3,Sep 9 2017,Sat,(20) Washington State,47,,Boise State,44,
160,3,Sep 9 2017,Sat,West Virginia,56,,East Carolina,20,
161,3,Sep 9 2017,Sat,(9) Wisconsin,31,,Florida Atlantic,14,
162,3,Sep 9 2017,Sat,Wyoming,27,,Gardner-Webb,0,
163,4,Sep 14 2017,Thu,Boise State,28,,New Mexico,14,
164,4,Sep 15 2017,Fri,Arizona,63,@,Texas-El Paso,16,
165,4,Sep 15 2017,Fri,(22) South Florida,47,,Illinois,23,
166,4,Sep 15 2017,Fri,Temple,29,,Massachusetts,21,
167,4,Sep 16 2017,Sat,(1) Alabama,41,,Colorado State,23,
168,4,Sep 16 2017,Sat,Alabama-Birmingham,30,,Coastal Carolina,23,
169,4,Sep 16 2017,Sat,Appalachian State,20,@,Texas State,13,
170,4,Sep 16 2017,Sat,Arkansas State,48,,Arkansas-Pine Bluff,3,
171,4,Sep 16 2017,Sat,(15) Auburn,24,,Mercer,10,
172,4,Sep 16 2017,Sat,Ball State,28,,Tennessee Tech,13,
173,4,Sep 16 2017,Sat,Buffalo,33,,Colgate,10,
174,4,Sep 16 2017,Sat,California,27,,Mississippi,16,
175,4,Sep 16 2017,Sat,Cincinnati,21,@,Miami (OH),17,
176,4,Sep 16 2017,Sat,(3) Clemson,47,@,(14) Louisville,21,
177,4,Sep 16 2017,Sat,Colorado,41,,Northern Colorado,21,
178,4,Sep 16 2017,Sat,Duke,34,,Baylor,20,
179,4,Sep 16 2017,Sat,(24) Florida,26,,(23) Tennessee,20,
180,4,Sep 16 2017,Sat,Florida Atlantic,45,,Bethune-Cookman,0,
181,4,Sep 16 2017,Sat,(13) Georgia,42,,Samford,14,
182,4,Sep 16 2017,Sat,Houston,38,,Rice,3,
183,4,Sep 16 2017,Sat,Idaho State,30,@,Nevada,28,
184,4,Sep 16 2017,Sat,Iowa,31,,North Texas,14,
185,4,Sep 16 2017,Sat,Iowa State,41,@,Akron,14,
186,4,Sep 16 2017,Sat,Kentucky,23,@,South Carolina,13,
187,4,Sep 16 2017,Sat,Louisiana Tech,23,@,Western Kentucky,22,
188,4,Sep 16 2017,Sat,Marshall,21,,Kent State,0,
189,4,Sep 16 2017,Sat,Memphis,48,,(25) UCLA,45,
190,4,Sep 16 2017,Sat,(7) Michigan,29,,Air Force,13,
191,4,Sep 16 2017,Sat,Minnesota,34,,Middle Tennessee State,3,
192,4,Sep 16 2017,Sat,Mississippi State,37,,(12) Louisiana State,7,
193,4,Sep 16 2017,Sat,North Carolina,53,@,Old Dominion,23,
194,4,Sep 16 2017,Sat,North Carolina A&T,35,@,Charlotte,31,
195,4,Sep 16 2017,Sat,North Carolina State,49,,Furman,16,
196,4,Sep 16 2017,Sat,Northern Illinois,21,@,Nebraska,17,
197,4,Sep 16 2017,Sat,Northwestern,49,,Bowling Green State,7,
198,4,Sep 16 2017,Sat,Notre Dame,49,@,Boston College,20,
199,4,Sep 16 2017,Sat,Ohio,42,,Kansas,30,
200,4,Sep 16 2017,Sat,(8) Ohio State,38,,Army,7,
201,4,Sep 16 2017,Sat,(2) Oklahoma,56,,Tulane,14,
