"","V1","V2","V3","V4","V5","V6"
"170","Texas A&amp;M","Oklahoma State","14","4"," H 6 A 10 H 3 A 12"," A -16 H -3 A 14 H -19"
"171","0","0","0","0","0","0"
"172","Central Michigan","Toledo","-24","4"," H -31 H -9 A 4 H 5 A 3"," A -7 H 21 A 4 H 21 H 6"
"173","Troy","Nicholls State","26","4","",""
"174","UCLA","Ohio State","7","4","",""
"175","Indiana","Utah","-2","4","",""
"176","Vanderbilt","Richmond","6","4","",""
"177","Clemson","Virginia","-2","4"," A -3 A -8 H -35 A -7 H -14 A 17"," H 1 A 24 A 6 H -4 H -36 A 20"
"178","Rutgers","Virginia Tech","-50","4"," H -1 H -7 A 25 A 73 H -42 H -31"," H 42 H -8 A -35 A -35 A 31 H 14"
"179","Washington","Idaho","50","4"," H 3 H 12"," A 7 A 29"
"180","Washington State","California","31","4"," A -27 H 7 A -6 H -7 H 6"," H -14 A 9 A 7 H -41 A 39"
"181","West Virginia","Kent State","20","4"," H 17"," A -10"
"182","Penn State","Wisconsin","-12","4"," A 6 H -20 H 2 A 5 H 14 A -5"," H 6 H -3 A -3 A 7 H -31 H -14"
"183","Utah State","Wyoming","-1","4"," A 4 A 20"," A 35 H -7"
"184","0","0","0","0","0","0"
"185","Pittsburgh","Miami (FL)","-22","5"," H -32 A 38 A -26 A -42 A -6"," H 59 A -11 H 38 H 61 H 42"
"186","San Diego State","Air Force","-24","5"," A -7 A 28 H -38 H -5"," A 7 H -24 A 30 A 19"
"187","Akron","Kent State","4","5"," H 2 H -5 A 17 A -27"," A -10 A 17 H -21 H 22"
"188","Arizona State","San Jose State","38","5"," A 31"," A 11"
"189","Vanderbilt","Auburn","-3","5"," H -3 H -16 A 58"," H -24 A -7 H 3"
"190","0","0","0","0","0","0"
"191","Boston College","Army","21","5","",""
"192","Nevada-Las Vegas","Brigham Young","-4","5"," A -15 H 28 H -2 A -21 H -28 A 10"," H 45 A -38 H 22 A -7 H 3 A -4"
"193","Buffalo","Central Michigan","-8","5"," H -20 A 4 H 44"," A 21 H 5 H -31"
"194","Georgia Tech","Clemson","-3","5"," H -3 H 10 H 7 A 1 A -5"," A 17 A -8 H -35 H -2 A -7"
"195","Wyoming","Colorado State","-28","5"," A 11 A 35 H -21 H -7 A 22"," H 7 H 2 A -2 A 22 H -7"
"196","Rutgers","Connecticut","-1","5"," A -16 H -50"," H -17 A 42"
"197","Florida","Mississippi State","52","5"," A -34 A -29 A 3 A -37"," H 3 H -42 A 2 H -2"
"198","Florida State","Wake Forest","24","5"," A -42 A 32 A -36 H 21 A -14 H -6"," A -7 A -1 A -4 H -7 H -7 H -3"
"199","Fresno State","Louisiana Tech","10","5"," H -5 H 28 A -47 H 19"," H 6 H 3 A -3 H 21"
"200","Georgia","Arkansas","11","5"," A -2 H -7 A -20"," H -10 H 25 A -2"
"201","Iowa","Penn State","6","5"," A 3 H 14 H -6 A 6 A -43"," A -5 H 14 H -20 H -12 A -3"
