Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
254,5,Sep 24 2016,7:10 PM,Kansas State,35,,Missouri State,0,
255,5,Sep 24 2016,7:30 PM,Kentucky,17,,South Carolina,10,
256,5,Sep 24 2016,8:00 PM,(3) Louisville,59,@,Marshall,28,
257,5,Sep 24 2016,8:00 PM,Memphis,77,,Bowling Green State,3,
258,5,Sep 24 2016,3:30 PM,(4) Michigan,49,,Penn State,10,
259,5,Sep 24 2016,7:00 PM,Middle Tennessee State,38,,Louisiana Tech,34,
260,5,Sep 24 2016,12:00 PM,Minnesota,31,,Colorado State,24,
261,5,Sep 24 2016,12:00 PM,(23) Mississippi,45,,(12) Georgia,14,
262,5,Sep 24 2016,3:30 PM,Mississippi State,47,@,Massachusetts,35,
263,5,Sep 24 2016,4:00 PM,Missouri,79,,Delaware State,0,
264,5,Sep 24 2016,7:30 PM,(20) Nebraska,24,@,Northwestern,13,
265,5,Sep 24 2016,3:30 PM,North Carolina,37,,Pittsburgh,36,
266,5,Sep 24 2016,6:00 PM,North Texas,42,@,Rice,35,
267,5,Sep 24 2016,2:00 PM,Ohio,37,,Gardner-Webb,21,
268,5,Sep 24 2016,3:30 PM,Old Dominion,33,,Texas-San Antonio,19,
269,5,Sep 24 2016,12:00 PM,Purdue,24,,Nevada,14,
270,5,Sep 24 2016,7:00 PM,South Alabama,41,,Nicholls State,40,
271,5,Sep 24 2016,8:00 PM,Southern Mississippi,34,@,Texas-El Paso,7,
272,5,Sep 24 2016,8:00 PM,(7) Stanford,22,@,UCLA,13,
273,5,Sep 24 2016,1:00 PM,Syracuse,31,@,Connecticut,24,
274,5,Sep 24 2016,12:00 PM,Temple,48,,Charlotte,20,
275,5,Sep 24 2016,3:30 PM,(14) Tennessee,38,,(19) Florida,28,
276,5,Sep 24 2016,9:00 PM,(10) Texas A&amp;M,45,,(17) Arkansas,24,x
277,5,Sep 24 2016,7:00 PM,Troy,52,,New Mexico State,6,
278,5,Sep 24 2016,8:00 PM,Tulane,41,,Louisiana-Lafayette,39,
279,5,Sep 24 2016,4:30 PM,Tulsa,48,@,Fresno State,41,
280,5,Sep 24 2016,4:30 PM,Vanderbilt,31,@,Western Kentucky,30,
281,5,Sep 24 2016,12:30 PM,Virginia,49,,Central Michigan,35,
282,5,Sep 24 2016,12:30 PM,Virginia Tech,54,,East Carolina,17,
283,5,Sep 24 2016,3:30 PM,Wake Forest,33,@,Indiana,28,
284,5,Sep 24 2016,10:30 PM,(9) Washington,35,@,Arizona,28,
285,5,Sep 24 2016,3:30 PM,West Virginia,35,,Brigham Young,32,x
286,5,Sep 24 2016,3:30 PM,Western Illinois,28,@,Northern Illinois,23,
287,5,Sep 24 2016,7:00 PM,Western Michigan,49,,Georgia Southern,31,
