Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
701,13,Nov 17 2016,8:00 PM,Houston,36,,(3) Louisville,10,
702,13,Nov 18 2016,9:00 PM,(22) Boise State,42,,Nevada-Las Vegas,25,
703,13,Nov 18 2016,8:00 PM,Memphis,34,@,Cincinnati,7,
704,13,Nov 19 2016,10:30 PM,Air Force,41,@,San Jose State,38,
705,13,Nov 19 2016,7:00 PM,(1) Alabama,31,,Chattanooga,3,
706,13,Nov 19 2016,2:30 PM,Appalachian State,42,,Louisiana-Monroe,17,
707,13,Nov 19 2016,7:00 PM,Arkansas,58,@,Mississippi State,42,
708,13,Nov 19 2016,12:00 PM,Army,60,,Morgan State,3,
709,13,Nov 19 2016,7:30 PM,(18) Auburn,55,,Alabama A&amp;M,0,
710,13,Nov 19 2016,1:00 PM,Boston College,30,,Connecticut,0,
711,13,Nov 19 2016,2:00 PM,Brigham Young,51,,Massachusetts,9,
712,13,Nov 19 2016,7:00 PM,(5) Clemson,35,@,Wake Forest,13,
713,13,Nov 19 2016,3:30 PM,(12) Colorado,38,,(20) Washington State,24,
714,13,Nov 19 2016,10:15 PM,Colorado State,49,,New Mexico,31,
715,13,Nov 19 2016,1:00 PM,(21) Florida,16,@,(16) Louisiana State,10,
716,13,Nov 19 2016,7:00 PM,Florida International,31,,Marshall,14,
717,13,Nov 19 2016,3:30 PM,(17) Florida State,45,@,Syracuse,14,
718,13,Nov 19 2016,12:00 PM,Georgia,35,,Louisiana-Lafayette,21,
719,13,Nov 19 2016,2:00 PM,Georgia State,30,,Georgia Southern,24,
720,13,Nov 19 2016,12:30 PM,Georgia Tech,31,,Virginia,17,
721,13,Nov 19 2016,7:00 PM,Hawaii,14,@,Fresno State,13,
722,13,Nov 19 2016,12:00 PM,Iowa,28,@,Illinois,0,
723,13,Nov 19 2016,3:30 PM,Iowa State,66,,Texas Tech,10,
724,13,Nov 19 2016,3:30 PM,Kansas,24,,Texas,21,
725,13,Nov 19 2016,12:00 PM,Kansas State,42,@,Baylor,21,
726,13,Nov 19 2016,4:30 PM,Kentucky,49,,Austin Peay,13,
727,13,Nov 19 2016,12:30 PM,Miami (FL),27,@,North Carolina State,13,
728,13,Nov 19 2016,3:30 PM,(4) Michigan,20,,Indiana,10,
729,13,Nov 19 2016,2:00 PM,Middle Tennessee State,38,@,Charlotte,31,
730,13,Nov 19 2016,3:30 PM,Minnesota,29,,Northwestern,12,
731,13,Nov 19 2016,4:00 PM,Navy,66,@,East Carolina,31,
732,13,Nov 19 2016,12:00 PM,(19) Nebraska,28,,Maryland,7,
733,13,Nov 19 2016,4:00 PM,Nevada,38,,Utah State,37,
734,13,Nov 19 2016,4:00 PM,New Mexico State,50,,Texas State,10,
735,13,Nov 19 2016,3:30 PM,North Carolina,41,,Citadel,7,
736,13,Nov 19 2016,5:30 PM,North Texas,29,,Southern Mississippi,23,
737,13,Nov 19 2016,12:00 PM,(2) Ohio State,17,@,Michigan State,16,
738,13,Nov 19 2016,8:00 PM,(8) Oklahoma,56,@,(10) West Virginia,28,
739,13,Nov 19 2016,12:00 PM,(13) Oklahoma State,31,@,Texas Christian,6,
740,13,Nov 19 2016,6:00 PM,Old Dominion,42,@,Florida Atlantic,24,
741,13,Nov 19 2016,2:00 PM,Oregon,30,@,(11) Utah,28,
742,13,Nov 19 2016,10:30 PM,Oregon State,42,,Arizona,17,
743,13,Nov 19 2016,8:00 PM,(9) Penn State,39,@,Rutgers,0,
744,13,Nov 19 2016,3:00 PM,Pittsburgh,56,,Duke,14,
745,13,Nov 19 2016,12:00 PM,Rice,44,,Texas-El Paso,24,
746,13,Nov 19 2016,7:00 PM,South Alabama,31,,Presbyterian,7,
747,13,Nov 19 2016,4:00 PM,South Carolina,44,,Western Carolina,31,
748,13,Nov 19 2016,7:00 PM,South Florida,35,@,Southern Methodist,27,
749,13,Nov 19 2016,10:30 PM,(15) Southern California,36,@,UCLA,14,
750,13,Nov 19 2016,5:30 PM,Stanford,45,@,California,31,
751,13,Nov 19 2016,3:30 PM,Temple,31,@,Tulane,0,
752,13,Nov 19 2016,3:30 PM,Tennessee,63,,Missouri,37,
753,13,Nov 19 2016,12:00 PM,(23) Texas A&amp;M,23,,Texas-San Antonio,10,
754,13,Nov 19 2016,8:00 PM,Tulsa,35,@,Central Florida,20,
755,13,Nov 19 2016,8:00 PM,Vanderbilt,38,,Mississippi,17,
756,13,Nov 19 2016,3:30 PM,Virginia Tech,34,@,Notre Dame,31,
757,13,Nov 19 2016,7:30 PM,(7) Washington,44,,Arizona State,18,
758,13,Nov 19 2016,3:30 PM,(14) Western Michigan,38,,Buffalo,0,
759,13,Nov 19 2016,12:00 PM,(6) Wisconsin,49,@,Purdue,20,
760,13,Nov 19 2016,3:30 PM,Wyoming,34,,(24) San Diego State,33,
761,14,Nov 22 2016,7:00 PM,Eastern Michigan,26,,Central Michigan,21,
762,14,Nov 22 2016,7:00 PM,Miami (OH),21,,Ball State,20,
763,14,Nov 22 2016,7:00 PM,Ohio,9,,Akron,3,
761,14,Nov 22 2016,7:00 PM,Eastern Michigan,26,,Central Michigan,21,
762,14,Nov 22 2016,7:00 PM,Miami (OH),21,,Ball State,20,
763,14,Nov 22 2016,7:00 PM,Ohio,9,,Akron,3,
764,14,Nov 24 2016,7:30 PM,(25) Louisiana State,54,@,(22) Texas A&amp;M,39,
765,14,Nov 25 2016,3:30 PM,Air Force,27,,(20) Boise State,20,
766,14,Nov 25 2016,9:30 PM,Arizona,56,,Arizona State,35,
767,14,Nov 25 2016,2:30 PM,Bowling Green State,27,,Buffalo,19,
768,14,Nov 25 2016,3:30 PM,Iowa,40,,(17) Nebraska,10,
769,14,Nov 25 2016,12:00 PM,Memphis,48,,(18) Houston,44,
770,14,Nov 25 2016,2:30 PM,Missouri,28,,Arkansas,24,
771,14,Nov 25 2016,12:00 PM,North Carolina State,28,@,North Carolina,21,
772,14,Nov 25 2016,12:00 PM,Northern Illinois,31,@,Kent State,21,
773,14,Nov 25 2016,4:00 PM,Southern Mississippi,39,,Louisiana Tech,24,
774,14,Nov 25 2016,3:30 PM,Texas Christian,31,@,Texas,9,
775,14,Nov 25 2016,6:00 PM,Texas Tech,54,,Baylor,35,
776,14,Nov 25 2016,8:30 PM,Tulsa,40,,Cincinnati,37,
777,14,Nov 25 2016,3:30 PM,(6) Washington,45,@,(23) Washington State,17,
778,14,Nov 25 2016,5:00 PM,(14) Western Michigan,55,,Toledo,35,
779,14,Nov 26 2016,3:30 PM,(1) Alabama,30,,(16) Auburn,12,
780,14,Nov 26 2016,4:00 PM,Appalachian State,37,@,New Mexico State,7,
781,14,Nov 26 2016,3:00 PM,Boston College,17,@,Wake Forest,14,
782,14,Nov 26 2016,10:15 PM,Brigham Young,28,,Utah State,10,
783,14,Nov 26 2016,7:00 PM,California,36,,UCLA,10,
784,14,Nov 26 2016,7:30 PM,(4) Clemson,56,,South Carolina,7,
785,14,Nov 26 2016,7:30 PM,(9) Colorado,27,,(21) Utah,22,
786,14,Nov 26 2016,9:00 PM,Colorado State,63,@,San Diego State,31,
787,14,Nov 26 2016,8:00 PM,(15) Florida State,31,,(13) Florida,13,
788,14,Nov 26 2016,12:00 PM,Georgia Tech,28,@,Georgia,27,
789,14,Nov 26 2016,11:00 PM,Hawaii,46,,Massachusetts,40,
790,14,Nov 26 2016,3:30 PM,Idaho,38,,South Alabama,31,
791,14,Nov 26 2016,12:00 PM,Indiana,26,,Purdue,24,
792,14,Nov 26 2016,12:00 PM,Kansas State,34,,Kansas,19,
793,14,Nov 26 2016,12:00 PM,Kentucky,41,@,(11) Louisville,38,
794,14,Nov 26 2016,12:00 PM,Louisiana-Lafayette,24,,Arkansas State,19,
795,14,Nov 26 2016,12:00 PM,Maryland,31,,Rutgers,13,
796,14,Nov 26 2016,3:30 PM,Miami (FL),40,,Duke,21,
797,14,Nov 26 2016,5:30 PM,Middle Tennessee State,77,,Florida Atlantic,56,
798,14,Nov 26 2016,3:30 PM,Mississippi State,55,@,Mississippi,20,
799,14,Nov 26 2016,3:30 PM,Navy,75,@,Southern Methodist,31,
800,14,Nov 26 2016,4:00 PM,Nevada,45,@,Nevada-Las Vegas,10,
801,14,Nov 26 2016,10:15 PM,New Mexico,56,,Wyoming,35,
802,14,Nov 26 2016,12:00 PM,Northwestern,42,,Illinois,21,
803,14,Nov 26 2016,12:00 PM,(2) Ohio State,30,,(3) Michigan,27,
804,14,Nov 26 2016,3:30 PM,Old Dominion,42,,Florida International,28,
805,14,Nov 26 2016,4:00 PM,Oregon State,34,,Oregon,24,
806,14,Nov 26 2016,3:30 PM,(8) Penn State,45,,Michigan State,12,
807,14,Nov 26 2016,12:30 PM,Pittsburgh,76,,Syracuse,61,
808,14,Nov 26 2016,3:30 PM,San Jose State,16,@,Fresno State,14,
809,14,Nov 26 2016,12:00 PM,South Florida,48,,Central Florida,31,
810,14,Nov 26 2016,3:30 PM,(12) Southern California,45,,Notre Dame,27,
811,14,Nov 26 2016,8:00 PM,Stanford,41,,Rice,17,
812,14,Nov 26 2016,7:30 PM,Temple,37,,East Carolina,10,
813,14,Nov 26 2016,4:00 PM,Texas-El Paso,52,,North Texas,24,
814,14,Nov 26 2016,7:00 PM,Texas-San Antonio,33,,Charlotte,14,
815,14,Nov 26 2016,4:00 PM,Troy,40,@,Texas State,7,
816,14,Nov 26 2016,4:00 PM,Tulane,38,@,Connecticut,13,
817,14,Nov 26 2016,7:30 PM,Vanderbilt,45,,(24) Tennessee,34,
818,14,Nov 26 2016,12:00 PM,Virginia Tech,52,,Virginia,10,
819,14,Nov 26 2016,3:30 PM,(19) West Virginia,49,@,Iowa State,19,
820,14,Nov 26 2016,7:00 PM,Western Kentucky,60,@,Marshall,6,
821,14,Nov 26 2016,3:30 PM,(5) Wisconsin,31,,Minnesota,17,
822,15,Dec 2 2016,Fri,(4) Washington,41,,(9) Colorado,10,Levi's Stadium - Santa Clara California
823,15,Dec 2 2016,Fri,(13) Western Michigan,29,,Ohio,23,
824,15,Dec 3 2016,Sat,(1) Alabama,54,,(15) Florida,16,Georgia Dome - Atlanta Georgia
825,15,Dec 3 2016,Sat,Arkansas State,36,@,Texas State,14,
826,15,Dec 3 2016,Sat,(3) Clemson,42,,(19) Virginia Tech,35,Camping World Stadium - Orlando Florida
827,15,Dec 3 2016,Sat,Georgia Southern,28,,Troy,24,
828,15,Dec 3 2016,Sat,Idaho,37,,Georgia State,12,
829,15,Dec 3 2016,Sat,Kansas State,30,@,Texas Christian,6,
830,15,Dec 3 2016,Sat,Louisiana-Lafayette,30,@,Louisiana-Monroe,3,
831,15,Dec 3 2016,Sat,(7) Oklahoma,38,,(11) Oklahoma State,20,
832,15,Dec 3 2016,Sat,(8) Penn State,38,,(6) Wisconsin,31,Lucas Oil Stadium - Indianapolis Indiana
833,15,Dec 3 2016,Sat,San Diego State,27,@,Wyoming,24,
834,15,Dec 3 2016,Sat,South Alabama,35,,New Mexico State,28,
835,15,Dec 3 2016,Sat,Temple,34,@,(20) Navy,10,
836,15,Dec 3 2016,Sat,(14) West Virginia,24,,Baylor,21,
837,15,Dec 3 2016,Sat,Western Kentucky,58,,Louisiana Tech,44,
832,15,Dec 10 2016,Sat,Army,21,,Navy,17,M&T Bank Stadium - Baltimore Maryland
833,17,Dec 17 2016,Sat,Appalachian State,31,,Toledo,28,Cramton Bowl - Montgomery Alabama
834,17,Dec 17 2016,Sat,Arkansas State,31,,Central Florida,13,Camping World Stadium - Orlando Florida
835,17,Dec 17 2016,Sat,New Mexico,23,,Texas-San Antonio,20,University Stadium - Albuquerque New Mexico
836,17,Dec 17 2016,Sat,San Diego State,34,,Houston,10,Sam Boyd Stadium - Las Vegas Nevada
837,17,Dec 17 2016,Sat,Southern Mississippi,28,,Louisiana-Lafayette,21,Mercedes-Benz Superdome - New Orleans Louisiana
838,17,Dec 19 2016,Mon,Tulsa,55,,Central Michigan,10,Marlins Park - Miami Florida
839,18,Dec 20 2016,Tue,Western Kentucky,51,,Memphis,31,FAU Football Stadium - Boca Raton Florida
840,18,Dec 21 2016,Wed,Brigham Young,24,,Wyoming,21,Qualcomm Stadium - San Diego California
841,18,Dec 22 2016,Thu,Idaho,61,,Colorado State,50,Albertsons Stadium - Boise Idaho
842,18,Dec 23 2016,Fri,Louisiana Tech,48,,Navy,45,Amon G. Carter Stadium - Fort Worth Texas
843,18,Dec 23 2016,Fri,Old Dominion,24,,Eastern Michigan,20,Thomas A. Robinson Stadium - Nassau Bahamas
844,18,Dec 23 2016,Fri,Troy,28,,Ohio,23,Ladd-Peebles Stadium - Mobile Alabama
845,18,Dec 24 2016,Sat,Hawaii,52,,Middle Tennessee State,35,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
846,18,Dec 26 2016,Mon,Boston College,36,,Maryland,30,Ford Field - Detroit Michigan
847,18,Dec 26 2016,Mon,Mississippi State,17,,Miami (OH),16,Tropicana Field - St. Petersburg Florida
848,18,Dec 26 2016,Mon,North Carolina State,41,,Vanderbilt,17,Independence Stadium - Shreveport Louisiana
849,19,Dec 27 2016,Tue,Army,38,,North Texas,31,Cotton Bowl Stadium - Dallas Texas
850,19,Dec 27 2016,Tue,Baylor,31,,Boise State,12,Chase Field - Phoenix Arizona
851,19,Dec 27 2016,Tue,Minnesota,17,,Washington State,12,Qualcomm Stadium - San Diego California
852,19,Dec 27 2016,Tue,Wake Forest,34,,(23) Temple,26,Navy Marine Corps Memorial Stadium - Annapolis Maryland
853,19,Dec 28 2016,Wed,Kansas State,33,,Texas A&amp;M,28,NRG Stadium - Houston Texas
854,19,Dec 28 2016,Wed,Miami (FL),31,,(14) West Virginia,14,Camping World Stadium - Orlando Florida
855,19,Dec 28 2016,Wed,Northwestern,31,,(22) Pittsburgh,24,Yankee Stadium - Bronx New York
856,19,Dec 28 2016,Wed,Utah,26,,Indiana,24,Levi's Stadium - Santa Clara California
857,19,Dec 29 2016,Thu,(13) Oklahoma State,38,,(11) Colorado,8,Alamodome - San Antonio Texas
858,19,Dec 29 2016,Thu,(25) South Florida,46,,South Carolina,39,Legion Field - Birmingham Alabama
859,19,Dec 29 2016,Thu,(18) Virginia Tech,35,,Arkansas,24,Bank of America Stadium - Charlotte North Carolina
860,19,Dec 30 2016,Fri,Air Force,45,,South Alabama,21,Arizona Stadium - Tucson Arizona
861,19,Dec 30 2016,Fri,(10) Florida State,33,,(6) Michigan,32,Hard Rock Stadium - Miami Gardens Florida
862,19,Dec 30 2016,Fri,Georgia,31,,Texas Christian,23,Liberty Bowl Memorial Stadium - Memphis Tennessee
863,19,Dec 30 2016,Fri,(16) Stanford,25,,North Carolina,23,Sun Bowl Stadium - El Paso Texas
864,19,Dec 30 2016,Fri,Tennessee,38,,(24) Nebraska,24,Nissan Stadium - Nashville Tennessee
865,19,Dec 31 2016,Sat,(1) Alabama,24,,(4) Washington,7,Georgia Dome - Atlanta Georgia
866,19,Dec 31 2016,Sat,(3) Clemson,31,,(2) Ohio State,0,University of Phoenix Stadium - Glendale Arizona
867,19,Dec 31 2016,Sat,Georgia Tech,33,,Kentucky,18,EverBank Field - Jacksonville Florida
868,19,Dec 31 2016,Sat,(19) Louisiana State,29,,(15) Louisville,9,Camping World Stadium - Orlando Florida
869,20,Jan 2 2017,Mon,(20) Florida,30,,(21) Iowa,3,Raymond James Stadium - Tampa Florida
870,20,Jan 2 2017,Mon,(7) Oklahoma,35,,(17) Auburn,19,Mercedes-Benz Superdome - New Orleans Louisiana
871,20,Jan 2 2017,Mon,(9) Southern California,52,,(5) Penn State,49,Rose Bowl - Pasadena California
872,20,Jan 2 2017,Mon,(8) Wisconsin,24,,(12) Western Michigan,16,AT&T Stadium - Arlington Texas
873,21,Jan 9 2017,Mon,(3) Clemson,35,,(1) Alabama,31,Raymond James Stadium - Tampa Florida
