Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
110,3,Sep 8 2018,Sat,Florida Atlantic,33,,Air Force,27,,,
111,3,Sep 8 2018,Sat,Florida International,28,@,Old Dominion,20,,,
112,3,Sep 8 2018,Sat,Florida State,36,,Samford,26,,,
113,3,Sep 8 2018,Sat,(3) Georgia,41,@,(24) South Carolina,17,,,
114,3,Sep 8 2018,Sat,Georgia Southern,34,,Massachusetts,13,,,
115,3,Sep 8 2018,Sat,Hawaii,43,,Rice,29,,,
116,3,Sep 8 2018,Sat,Houston,45,,Arizona,18,,,
117,3,Sep 8 2018,Sat,Illinois,34,,Western Illinois,14,,,
118,3,Sep 8 2018,Sat,Indiana,20,,Virginia,16,,,
119,3,Sep 8 2018,Sat,Iowa,13,,Iowa State,3,,,
120,3,Sep 8 2018,Sat,Kansas,31,@,Central Michigan,7,,,
121,3,Sep 8 2018,Sat,Kent State,54,,Howard,14,,,
122,3,Sep 8 2018,Sat,Kentucky,27,@,(25) Florida,16,,,
123,3,Sep 8 2018,Sat,(11) Louisiana State,31,,Southeastern Louisiana,0,,,
124,3,Sep 8 2018,Sat,Louisiana Tech,54,,Southern,17,,,
125,3,Sep 8 2018,Sat,Louisiana-Monroe,21,@,Southern Mississippi,20,,,
126,3,Sep 8 2018,Sat,Louisville,31,,Indiana State,7,,,
127,3,Sep 8 2018,Sat,Maine,31,@,Western Kentucky,28,,,
128,3,Sep 8 2018,Sat,Marshall,32,,Eastern Kentucky,16,,,
129,3,Sep 8 2018,Sat,Maryland,45,@,Bowling Green State,14,,,
130,3,Sep 8 2018,Sat,(22) Miami (FL),77,,Savannah State,0,,,
131,3,Sep 8 2018,Sat,(21) Michigan,49,,Western Michigan,3,,,
132,3,Sep 8 2018,Sat,Middle Tennessee State,61,,Tennessee-Martin,37,,,
133,3,Sep 8 2018,Sat,Minnesota,21,,Fresno State,14,,,
134,3,Sep 8 2018,Sat,Mississippi,76,,Southern Illinois,41,,,
135,3,Sep 8 2018,Sat,(18) Mississippi State,31,@,Kansas State,10,,,
136,3,Sep 8 2018,Sat,Missouri,40,,Wyoming,13,,,
137,3,Sep 8 2018,Sat,Navy,22,,Memphis,21,,,
138,3,Sep 8 2018,Sat,Nevada-Las Vegas,52,,Texas-El Paso,24,,,
139,3,Sep 8 2018,Sat,North Carolina State,41,,Georgia State,7,,,
140,3,Sep 8 2018,Sat,North Texas,58,,Incarnate Word,16,,,
141,3,Sep 8 2018,Sat,(8) Notre Dame,24,,Ball State,16,,,
142,3,Sep 8 2018,Sat,(4) Ohio State,52,,Rutgers,3,,,
143,3,Sep 8 2018,Sat,(6) Oklahoma,49,,UCLA,21,,,
144,3,Sep 8 2018,Sat,Oklahoma State,55,,South Alabama,13,,,
145,3,Sep 8 2018,Sat,(23) Oregon,62,,Portland State,14,,,
146,3,Sep 8 2018,Sat,Oregon State,48,,Southern Utah,25,,,
147,3,Sep 8 2018,Sat,(13) Penn State,51,@,Pittsburgh,6,,,
148,3,Sep 8 2018,Sat,San Diego State,28,,Sacramento State,14,,,
149,3,Sep 8 2018,Sat,South Florida,49,,Georgia Tech,38,,,
150,3,Sep 8 2018,Sat,(10) Stanford,17,,(17) Southern California,3,,,
151,3,Sep 8 2018,Sat,Syracuse,62,,Wagner,10,,,
152,3,Sep 8 2018,Sat,Tennessee,59,,East Tennessee State,3,,,
153,3,Sep 8 2018,Sat,Texas,28,,Tulsa,21,,,
154,3,Sep 8 2018,Sat,Texas State,36,,Texas Southern,20,,,
155,3,Sep 8 2018,Sat,Texas Tech,77,,Lamar,0,,,
156,3,Sep 8 2018,Sat,Troy,59,,Florida A&M,7,,,
157,3,Sep 8 2018,Sat,Tulane,42,,Nicholls State,17,,,
158,3,Sep 8 2018,Sat,Utah,17,@,Northern Illinois,6,,,
159,3,Sep 8 2018,Sat,Utah State,60,,New Mexico State,13,,,
160,3,Sep 8 2018,Sat,Vanderbilt,41,,Nevada,10,,,
161,3,Sep 8 2018,Sat,(12) Virginia Tech,62,,William & Mary,17,,,
162,3,Sep 8 2018,Sat,Wake Forest,51,,Towson,20,,,
163,3,Sep 8 2018,Sat,(9) Washington,45,,North Dakota,3,,,
164,3,Sep 8 2018,Sat,Washington State,31,,San Jose State,0,,,
165,3,Sep 8 2018,Sat,(14) West Virginia,52,,Youngstown State,17,,,
166,3,Sep 8 2018,Sat,(5) Wisconsin,45,,New Mexico,14,,,
167,4,Sep 13 2018,Thu,Boston College,41,@,Wake Forest,34,,,
168,4,Sep 13 2018,Thu,Utah State,73,,Tennessee Tech,12,,,
169,4,Sep 14 2018,Fri,Memphis,59,,Georgia State,22,,,
170,4,Sep 15 2018,Sat,Akron,39,@,Northwestern,34,,,
171,4,Sep 15 2018,Sat,(1) Alabama,62,@,Mississippi,7,,,
172,4,Sep 15 2018,Sat,Alabama-Birmingham,31,,Tulane,24,,,
173,4,Sep 15 2018,Sat,Arizona,62,,Southern Utah,31,,,
174,4,Sep 15 2018,Sat,Arkansas State,29,@,Tulsa,20,,,
175,4,Sep 15 2018,Sat,Army,28,,Hawaii,21,,,
176,4,Sep 15 2018,Sat,Bowling Green State,42,,Eastern Kentucky,35,,,
177,4,Sep 15 2018,Sat,Brigham Young,24,@,(5) Wisconsin,21,,,
178,4,Sep 15 2018,Sat,Buffalo,35,,Eastern Michigan,28,,,
179,4,Sep 15 2018,Sat,California,45,,Idaho State,23,,,
180,4,Sep 15 2018,Sat,Campbell,58,@,Coastal Carolina,21,,,
181,4,Sep 15 2018,Sat,Charlotte,28,,Old Dominion,25,,,
182,4,Sep 15 2018,Sat,Cincinnati,63,,Alabama A&M,7,,,
183,4,Sep 15 2018,Sat,(2) Clemson,38,,Georgia Southern,7,,,
184,4,Sep 15 2018,Sat,Colorado,45,,New Hampshire,14,,,
185,4,Sep 15 2018,Sat,Connecticut,56,,Rhode Island,49,,,
186,4,Sep 15 2018,Sat,Duke,40,@,Baylor,27,,,
187,4,Sep 15 2018,Sat,(25) Florida,48,,Colorado State,10,,,
188,4,Sep 15 2018,Sat,Florida Atlantic,49,,Bethune-Cookman,28,,,
189,4,Sep 15 2018,Sat,Florida International,63,,Massachusetts,24,,,
190,4,Sep 15 2018,Sat,Fresno State,38,@,UCLA,14,,,
191,4,Sep 15 2018,Sat,(3) Georgia,49,,Middle Tennessee State,7,,,
192,4,Sep 15 2018,Sat,Indiana,38,,Ball State,10,,,
