Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
716,13,Nov 17 2018,Sat,East Carolina,55,,Connecticut,21,,,
717,13,Nov 17 2018,Sat,(15) Florida,63,,Idaho,10,,,
718,13,Nov 17 2018,Sat,Florida International,42,@,Charlotte,35,,,
719,13,Nov 17 2018,Sat,Florida State,22,,(22) Boston College,21,,,
720,13,Nov 17 2018,Sat,Fresno State,23,,San Diego State,14,,,
721,13,Nov 17 2018,Sat,(5) Georgia,66,,Massachusetts,27,,,
722,13,Nov 17 2018,Sat,Georgia Southern,41,@,Coastal Carolina,17,,,
723,13,Nov 17 2018,Sat,Georgia Tech,30,,Virginia,27,,,
724,13,Nov 17 2018,Sat,Hawaii,35,,Nevada-Las Vegas,28,,,
725,13,Nov 17 2018,Sat,Iowa,63,@,Illinois,0,,,
726,13,Nov 17 2018,Sat,Kansas State,21,,Texas Tech,6,,,
727,13,Nov 17 2018,Sat,(20) Kentucky,34,,Middle Tennessee State,23,,,
728,13,Nov 17 2018,Sat,Louisiana,48,,South Alabama,38,,,
729,13,Nov 17 2018,Sat,(10) Louisiana State,42,,Rice,10,,,
730,13,Nov 17 2018,Sat,Marshall,23,,Texas-San Antonio,0,,,
731,13,Nov 17 2018,Sat,Miami (FL),38,@,Virginia Tech,14,,,
732,13,Nov 17 2018,Sat,(4) Michigan,31,,Indiana,20,,,
733,13,Nov 17 2018,Sat,(25) Mississippi State,52,,Arkansas,6,,,
734,13,Nov 17 2018,Sat,Missouri,50,@,Tennessee,17,,,
735,13,Nov 17 2018,Sat,Navy,37,,Tulsa,29,,,
736,13,Nov 17 2018,Sat,Nebraska,9,,Michigan State,6,,,
737,13,Nov 17 2018,Sat,Nevada,21,@,San Jose State,12,,,
738,13,Nov 17 2018,Sat,North Carolina,49,,Western Carolina,26,,,
739,13,Nov 17 2018,Sat,North Carolina State,52,@,Louisville,10,,,
740,13,Nov 17 2018,Sat,(24) Northwestern,24,@,Minnesota,14,,,
741,13,Nov 17 2018,Sat,(3) Notre Dame,36,,(12) Syracuse,3,X,,
742,13,Nov 17 2018,Sat,(9) Ohio State,52,@,Maryland,51,,,
743,13,Nov 17 2018,Sat,(6) Oklahoma,55,,Kansas,40,,,
744,13,Nov 17 2018,Sat,Oklahoma State,45,,(7) West Virginia,41,,,
745,13,Nov 17 2018,Sat,Old Dominion,77,,Virginia Military Institute,14,,,
746,13,Nov 17 2018,Sat,Oregon,31,,Arizona State,29,,,
747,13,Nov 17 2018,Sat,(16) Penn State,20,@,Rutgers,7,,,
748,13,Nov 17 2018,Sat,Pittsburgh,34,@,Wake Forest,13,,,
749,13,Nov 17 2018,Sat,South Carolina,49,,Chattanooga,9,,,
750,13,Nov 17 2018,Sat,Southern Mississippi,21,,Louisiana Tech,20,,,
751,13,Nov 17 2018,Sat,Temple,27,,South Florida,17,,,
752,13,Nov 17 2018,Sat,(13) Texas,24,,(18) Iowa State,10,,,
753,13,Nov 17 2018,Sat,Texas A&M,41,,Alabama-Birmingham,20,,,
754,13,Nov 17 2018,Sat,Texas Christian,16,@,Baylor,9,,,
755,13,Nov 17 2018,Sat,Troy,12,,Texas State,7,,,
756,13,Nov 17 2018,Sat,UCLA,34,,Southern California,27,,,
757,13,Nov 17 2018,Sat,(21) Utah,30,@,Colorado,7,,,
758,13,Nov 17 2018,Sat,(14) Utah State,29,@,Colorado State,24,,,
759,13,Nov 17 2018,Sat,Vanderbilt,36,,Mississippi,29,,,
760,13,Nov 17 2018,Sat,(17) Washington,42,,Oregon State,23,,,
761,13,Nov 17 2018,Sat,(8) Washington State,69,,Arizona,28,,,
762,13,Nov 17 2018,Sat,Western Kentucky,40,,Texas-El Paso,16,,,
763,13,Nov 17 2018,Sat,Wisconsin,47,@,Purdue,44,,,
764,13,Nov 17 2018,Sat,Wyoming,35,,Air Force,27,,,
765,14,Nov 20 2018,Tue,Miami (OH),42,,Ball State,21,,,
766,14,Nov 20 2018,Tue,Western Michigan,28,,Northern Illinois,21,,,
767,14,Nov 22 2018,Thu,Air Force,27,,Colorado State,19,,,
768,14,Nov 22 2018,Thu,(22) Mississippi State,35,@,Mississippi,3,,,
769,14,Nov 23 2018,Fri,Buffalo,44,@,Bowling Green State,14,,,
770,14,Nov 23 2018,Fri,(8) Central Florida,38,@,South Florida,10,,,
771,14,Nov 23 2018,Fri,Cincinnati,56,,East Carolina,6,,,
772,14,Nov 23 2018,Fri,Eastern Michigan,28,@,Kent State,20,,,
773,14,Nov 23 2018,Fri,Iowa,31,,Nebraska,28,,,
774,14,Nov 23 2018,Fri,Memphis,52,,Houston,31,,,
775,14,Nov 23 2018,Fri,Missouri,38,,Arkansas,0,,,
776,14,Nov 23 2018,Fri,Ohio,49,,Akron,28,,,
777,14,Nov 23 2018,Fri,(6) Oklahoma,59,@,(12) West Virginia,56,,,
778,14,Nov 23 2018,Fri,Oregon,55,@,Oregon State,15,,,
779,14,Nov 23 2018,Fri,(11) Texas,24,@,Kansas,17,,,
780,14,Nov 23 2018,Fri,Toledo,51,,Central Michigan,13,,,
781,14,Nov 23 2018,Fri,Virginia Tech,34,,Virginia,31,,,
782,14,Nov 23 2018,Fri,(16) Washington,28,@,(7) Washington State,15,,,
783,14,Nov 24 2018,Sat,(1) Alabama,52,,Auburn,21,,,
784,14,Nov 24 2018,Sat,Appalachian State,21,,Troy,10,,,
785,14,Nov 24 2018,Sat,Arizona State,41,@,Arizona,40,,,
786,14,Nov 24 2018,Sat,Arkansas State,33,@,Texas State,7,,,
787,14,Nov 24 2018,Sat,Baylor,35,,Texas Tech,24,X,,
788,14,Nov 24 2018,Sat,(21) Boise State,33,,(14) Utah State,24,,,
789,14,Nov 24 2018,Sat,California,33,,Colorado,21,,,
790,14,Nov 24 2018,Sat,Charlotte,27,@,Florida Atlantic,24,,,
791,14,Nov 24 2018,Sat,(2) Clemson,56,,South Carolina,35,,,
792,14,Nov 24 2018,Sat,(13) Florida,41,@,Florida State,14,,,
793,14,Nov 24 2018,Sat,Fresno State,31,,San Jose State,13,,,
794,14,Nov 24 2018,Sat,(5) Georgia,45,,Georgia Tech,21,,,
795,14,Nov 24 2018,Sat,Georgia Southern,35,@,Georgia State,14,,,
796,14,Nov 24 2018,Sat,Hawaii,31,@,San Diego State,30,,,
797,14,Nov 24 2018,Sat,(25) Iowa State,42,,Kansas State,38,,,
798,14,Nov 24 2018,Sat,(17) Kentucky,56,@,Louisville,10,,,
799,14,Nov 24 2018,Sat,Liberty,28,,New Mexico State,21,,,
800,14,Nov 24 2018,Sat,Louisiana,31,@,Louisiana-Monroe,28,,,
801,14,Nov 24 2018,Sat,Marshall,28,@,Florida International,25,,,
802,14,Nov 24 2018,Sat,Miami (FL),24,,(24) Pittsburgh,3,,,
803,14,Nov 24 2018,Sat,Michigan State,14,,Rutgers,10,,,
804,14,Nov 24 2018,Sat,Middle Tennessee State,27,,Alabama-Birmingham,3,,,
805,14,Nov 24 2018,Sat,Minnesota,37,@,Wisconsin,15,,,
806,14,Nov 24 2018,Sat,Nevada-Las Vegas,34,,Nevada,29,,,
807,14,Nov 24 2018,Sat,North Carolina State,34,@,North Carolina,28,,,
808,14,Nov 24 2018,Sat,North Texas,24,@,Texas-San Antonio,21,,,
809,14,Nov 24 2018,Sat,(20) Northwestern,24,,Illinois,16,,,
810,14,Nov 24 2018,Sat,(3) Notre Dame,24,@,Southern California,17,,,
811,14,Nov 24 2018,Sat,(10) Ohio State,62,,(4) Michigan,39,,,
812,14,Nov 24 2018,Sat,(15) Penn State,38,,Maryland,3,,,
813,14,Nov 24 2018,Sat,Purdue,28,@,Indiana,21,,,
814,14,Nov 24 2018,Sat,Rice,27,,Old Dominion,13,,,
815,14,Nov 24 2018,Sat,South Alabama,31,,Coastal Carolina,28,,,
816,14,Nov 24 2018,Sat,Southern Mississippi,39,@,Texas-El Paso,7,,,
817,14,Nov 24 2018,Sat,Stanford,49,@,UCLA,42,,,
818,14,Nov 24 2018,Sat,(19) Syracuse,42,@,Boston College,21,,,
819,14,Nov 24 2018,Sat,Temple,57,@,Connecticut,7,,,
820,14,Nov 24 2018,Sat,Texas A&M,74,,(8) Louisiana State,72,,,
821,14,Nov 24 2018,Sat,Texas Christian,31,,Oklahoma State,24,,,
822,14,Nov 24 2018,Sat,Tulane,29,,Navy,28,,,
823,14,Nov 24 2018,Sat,Tulsa,27,,Southern Methodist,24,,,
824,14,Nov 24 2018,Sat,(18) Utah,35,,Brigham Young,27,,,
825,14,Nov 24 2018,Sat,Vanderbilt,38,,Tennessee,13,,,
826,14,Nov 24 2018,Sat,Wake Forest,59,@,Duke,7,,,
827,14,Nov 24 2018,Sat,Western Kentucky,30,@,Louisiana Tech,15,,,
828,14,Nov 24 2018,Sat,Wyoming,31,@,New Mexico,3,,,
829,15,Nov 30 2018,Fri,Northern Illinois,30,,Buffalo,29,Ford Field - Detroit Michigan,,
830,15,Nov 30 2018,Fri,(10) Washington,10,,(17) Utah,3,Levi's Stadium - Santa Clara California,,
831,15,Dec 1 2018,Sat,(1) Alabama,35,,(4) Georgia,28,Mercedes-Benz Stadium - Atlanta Georgia,,
832,15,Dec 1 2018,Sat,Alabama-Birmingham,27,@,Middle Tennessee State,25,,,
833,15,Dec 1 2018,Sat,Appalachian State,30,,Louisiana,19,,,
834,15,Dec 1 2018,Sat,(7) Central Florida,56,,Memphis,41,,,
835,15,Dec 1 2018,Sat,(2) Clemson,42,,Pittsburgh,10,Bank of America Stadium - Charlotte North Carolina,,
836,15,Dec 1 2018,Sat,(25) Fresno State,19,@,(19) Boise State,16,,,
837,15,Dec 1 2018,Sat,(24) Iowa State,27,,Drake,24,,,
838,15,Dec 1 2018,Sat,Liberty,52,,Norfolk State,17,,,
839,15,Dec 1 2018,Sat,North Carolina State,58,,East Carolina,3,,,
840,15,Dec 1 2018,Sat,(6) Ohio State,45,,(21) Northwestern,24,Lucas Oil Stadium - Indianapolis Indiana,,
841,15,Dec 1 2018,Sat,(5) Oklahoma,39,,(9) Texas,27,AT&T Stadium - Arlington Texas,,
842,15,Dec 1 2018,Sat,South Carolina,28,,Akron,3,,,
843,15,Dec 1 2018,Sat,Stanford,23,@,California,13,,,
844,15,Dec 1 2018,Sat,Virginia Tech,41,,Marshall,20,,,
845,16,Dec 8 2018,Sat,(22) Army,17,,Navy,10,Lincoln Financial Field - Philadelphia Pennsylvania,,
